timestamp_ms,acc_x,acc_y,acc_z,activity_label
11837858,-0.0366,9.629,0.7787,STANDING
11837878,-0.0708,9.6153,0.8012,STANDING
11837898,-0.0972,9.6124,0.8054,STANDING
11837918,-0.1111,9.6084,0.795,STANDING
11837938,-0.1187,9.6004,0.7905,STANDING
11837958,-0.1183,9.5986,0.7902,STANDING
11837978,-0.1165,9.5952,0.7809,STANDING
11837998,-0.1375,9.6055,0.7265,STANDING
11838018,-0.139,9.6261,0.6913,STANDING
11838038,-0.0983,9.6426,0.7206,STANDING
11838058,-0.0631,9.6384,0.7472,STANDING
11838078,-0.013,9.6135,0.7203,STANDING
11838098,0.013,9.5871,0.6829,STANDING
11838118,0.0343,9.6298,0.6468,STANDING
11838138,0.0617,9.652,0.6088,STANDING
11838158,0.0892,9.6506,0.5955,STANDING
11838178,0.1209,9.6439,0.5894,STANDING
11838198,0.1569,9.6392,0.5835,STANDING
11838218,0.193,9.6339,0.5865,STANDING
11838238,0.2167,9.6386,0.5942,STANDING
11838258,0.2324,9.6398,0.5866,STANDING
11838278,0.2517,9.6408,0.5822,STANDING
11838298,0.2672,9.6371,0.5749,STANDING
11838318,0.2722,9.6377,0.5617,STANDING
11838338,0.2585,9.641,0.547,STANDING
11838358,0.2418,9.6529,0.5373,STANDING
11838378,0.2258,9.6671,0.5245,STANDING
11838398,0.2145,9.6713,0.5264,STANDING
11838418,0.2064,9.6661,0.5299,STANDING
11838438,0.1987,9.6565,0.5299,STANDING
11838458,0.1944,9.6534,0.5319,STANDING
11838478,0.201,9.6432,0.5386,STANDING
11838498,0.2004,9.6412,0.5577,STANDING
11838518,0.2179,9.6405,0.5709,STANDING
11838538,0.2092,9.6272,0.6294,STANDING
11838558,0.1425,9.5647,0.6464,STANDING
11838578,0.1677,9.5487,0.6259,STANDING
11838598,0.1743,9.5542,0.6052,STANDING
11838618,0.1721,9.5697,0.6,STANDING
11838638,0.1815,9.584,0.5846,STANDING
11838658,0.1824,9.5937,0.5704,STANDING
11838678,0.169,9.6015,0.5722,STANDING
11838698,0.1565,9.606,0.5799,STANDING
11838718,0.1473,9.6117,0.5832,STANDING
11838738,0.1455,9.6209,0.5937,STANDING
11838758,0.1496,9.6301,0.601,STANDING
11838778,0.1537,9.6327,0.6109,STANDING
11838798,0.1506,9.6301,0.6065,STANDING
11838818,0.1443,9.6255,0.6031,STANDING
11838838,0.1308,9.629,0.5957,STANDING
11838858,0.1236,9.6293,0.5999,STANDING
11838878,0.1281,9.6276,0.6043,STANDING
11838898,0.13,9.6328,0.6142,STANDING
11838918,0.1277,9.6266,0.6222,STANDING
11838938,0.1213,9.6134,0.6249,STANDING
11838958,0.1151,9.6066,0.618,STANDING
11838978,0.1178,9.6226,0.6161,STANDING
11838998,0.1302,9.6274,0.6085,STANDING
11839018,0.1379,9.633,0.5782,STANDING
11839038,0.2238,9.5792,0.5482,STANDING
11839058,0.2348,9.5637,0.5262,STANDING
11839078,0.2205,9.5802,0.4835,STANDING
11839098,0.2064,9.6,0.4923,STANDING
11839118,0.1951,9.614,0.5061,STANDING
11839138,0.1862,9.6197,0.5208,STANDING
11839158,0.175,9.6265,0.5364,STANDING
11839178,0.1604,9.6328,0.5471,STANDING
11839198,0.1466,9.638,0.5511,STANDING
11839218,0.1336,9.6308,0.5517,STANDING
11839238,0.1243,9.6297,0.5568,STANDING
11839258,0.1258,9.6363,0.5626,STANDING
11839278,0.1252,9.6369,0.5629,STANDING
11839298,0.1229,9.6356,0.5668,STANDING
11839318,0.1124,9.6338,0.5673,STANDING
11839338,0.1079,9.6395,0.5751,STANDING
11839358,0.0995,9.6458,0.5703,STANDING
11839378,0.0993,9.6513,0.5643,STANDING
11839398,0.1065,9.6527,0.5699,STANDING
11839418,0.1069,9.652,0.5759,STANDING
11839438,0.0999,9.6485,0.5425,STANDING
11839458,0.0845,9.6491,0.5542,STANDING
11839478,0.0969,9.6432,0.5553,STANDING
11839498,0.1236,9.7324,0.5647,STANDING
11839518,0.1101,9.7271,0.5813,STANDING
11839538,0.1024,9.7011,0.5859,STANDING
11839558,0.1098,9.688,0.5826,STANDING
11839578,0.1122,9.6961,0.5331,STANDING
11839598,0.1075,9.7023,0.5252,STANDING
11839618,0.1047,9.7032,0.5177,STANDING
11839638,0.1053,9.695,0.5249,STANDING
11839658,0.1056,9.6864,0.5362,STANDING
11839678,0.1033,9.6739,0.5395,STANDING
11839698,0.0977,9.6667,0.5441,STANDING
11839718,0.0886,9.6625,0.5378,STANDING
11839738,0.0858,9.6561,0.5402,STANDING
