timestamp_ms,acc_x,acc_y,acc_z,activity_label
12980958,3.6743,-7.799,5.0518,STANDING
12980978,3.7023,-7.7815,5.0406,STANDING
12980998,3.731,-7.7561,5.0806,STANDING
12981018,3.7207,-7.7208,5.0726,STANDING
12981038,3.6982,-7.6988,5.063,STANDING
12981058,3.6706,-7.7017,5.0636,STANDING
12981078,3.6318,-7.7152,5.0686,STANDING
12981098,3.6022,-7.7353,5.0763,STANDING
12981118,3.569,-7.7421,5.0846,STANDING
12981138,3.5506,-7.7468,5.0893,STANDING
12981158,3.5459,-7.7561,5.0925,STANDING
12981178,3.5559,-7.7554,5.0964,STANDING
12981198,3.5708,-7.7596,5.0946,STANDING
12981218,3.5751,-7.7525,5.1058,STANDING
12981238,3.574,-7.7414,5.1167,STANDING
12981258,3.5695,-7.7381,5.1182,STANDING
12981278,3.5763,-7.7379,5.1146,STANDING
12981298,3.5853,-7.7433,5.1147,STANDING
12981318,3.581,-7.7449,5.1166,STANDING
12981338,3.5652,-7.7585,5.1247,STANDING
12981358,3.5557,-7.7665,5.1283,STANDING
12981378,3.5603,-7.7712,5.1284,STANDING
12981398,3.5588,-7.7637,5.1713,STANDING
12981418,3.5553,-7.7492,5.1894,STANDING
12981438,3.5557,-7.731,5.173,STANDING
12981458,3.5517,-7.7217,5.1724,STANDING
12981478,3.5277,-7.6925,5.2477,STANDING
12981498,3.5261,-7.6885,5.2664,STANDING
12981518,3.5335,-7.6949,5.2503,STANDING
12981538,3.5365,-7.6916,5.2334,STANDING
12981558,3.5288,-7.6987,5.2164,STANDING
12981578,3.5247,-7.722,5.208,STANDING
12981598,3.5229,-7.7368,5.1938,STANDING
12981618,3.5272,-7.7501,5.1804,STANDING
12981638,3.5381,-7.7532,5.1574,STANDING
12981658,3.5422,-7.7632,5.1379,STANDING
12981678,3.5418,-7.7741,5.1308,STANDING
12981698,3.5424,-7.7773,5.1192,STANDING
12981718,3.5531,-7.7818,5.109,STANDING
12981738,3.5654,-7.7893,5.1025,STANDING
12981758,3.5785,-7.7961,5.0944,STANDING
12981778,3.5879,-7.7922,5.085,STANDING
12981798,3.5985,-7.7873,5.0832,STANDING
12981818,3.6176,-7.7854,5.0826,STANDING
12981838,3.6288,-7.7884,5.0793,STANDING
12981858,3.6268,-7.7985,5.0727,STANDING
12981878,3.6085,-7.8101,5.0713,STANDING
12981898,3.5756,-7.8296,5.0731,STANDING
12981918,3.5699,-7.8223,5.1135,STANDING
12981938,3.55,-7.8247,5.0643,STANDING
12981958,3.5261,-7.8014,5.0063,STANDING
12981978,3.547,-7.8117,4.9983,STANDING
12981998,3.5735,-7.8179,4.9145,STANDING
12982018,3.5701,-7.8298,4.911,STANDING
12982038,3.5663,-7.8381,4.9218,STANDING
12982058,3.5633,-7.8303,4.9361,STANDING
12982078,3.5589,-7.8314,4.9486,STANDING
12982098,3.5582,-7.8331,4.9623,STANDING
12982118,3.551,-7.841,4.9688,STANDING
12982138,3.5452,-7.8485,4.9825,STANDING
12982158,3.5312,-7.8546,4.987,STANDING
12982178,3.5236,-7.8613,4.9918,STANDING
12982198,3.5164,-7.8608,4.9924,STANDING
12982218,3.5072,-7.8627,4.9933,STANDING
12982238,3.5108,-7.8678,4.9949,STANDING
12982258,3.5153,-7.8727,5.0028,STANDING
12982278,3.5106,-7.8789,5.01,STANDING
12982298,3.5097,-7.8891,5.0065,STANDING
12982318,3.4995,-7.8936,5.0008,STANDING
12982338,3.4849,-7.8909,5.0,STANDING
12982358,3.4605,-7.8918,4.986,STANDING
12982378,3.4723,-7.9026,4.9558,STANDING
12982398,3.4808,-7.922,4.9358,STANDING
12982418,3.49,-7.9391,4.9602,STANDING
12982438,3.4927,-7.9458,4.959,STANDING
12982458,3.5098,-7.9068,4.9799,STANDING
12982478,3.5064,-7.8977,5.0099,STANDING
12982498,3.4898,-7.8925,4.9951,STANDING
12982518,3.4844,-7.8938,4.9768,STANDING
12982538,3.4857,-7.8997,4.9695,STANDING
12982558,3.4924,-7.9065,4.9711,STANDING
12982578,3.4922,-7.9097,4.9721,STANDING
12982598,3.4883,-7.9067,4.9711,STANDING
12982618,3.4795,-7.9063,4.9657,STANDING
12982638,3.48,-7.9096,4.9568,STANDING
12982658,3.4944,-7.9132,4.9551,STANDING
12982678,3.5013,-7.919,4.9516,STANDING
12982698,3.5049,-7.9321,4.9435,STANDING
12982718,3.506,-7.9416,4.9397,STANDING
12982738,3.505,-7.9505,4.9366,STANDING
12982758,3.5072,-7.9538,4.9313,STANDING
12982778,3.506,-7.9622,4.9307,STANDING
12982798,3.5041,-7.9615,4.9319,STANDING
12982818,3.5005,-7.9685,4.9338,STANDING
12982838,3.4989,-7.9703,4.9268,STANDING
12982858,3.4741,-7.9754,4.9114,STANDING
12982878,3.4901,-7.9869,4.9236,STANDING
12982898,3.4862,-8.0006,4.9146,STANDING
12982918,3.4838,-8.0149,4.9461,STANDING
12982938,3.4724,-8.0237,4.9208,STANDING
12982958,3.4515,-8.0273,4.8552,STANDING
12982978,3.4729,-8.003,4.8497,STANDING
12982998,3.4839,-7.9758,4.871,STANDING
12983018,3.4946,-7.9726,4.8752,STANDING
12983038,3.4929,-7.9774,4.8768,STANDING
12983058,3.4907,-7.9767,4.8772,STANDING
12983078,3.4926,-7.976,4.8833,STANDING
12983098,3.4904,-7.9772,4.8853,STANDING
12983118,3.485,-7.9752,4.8823,STANDING
12983138,3.4815,-7.9783,4.8768,STANDING
12983158,3.4861,-7.9773,4.8714,STANDING
12983178,3.4899,-7.9812,4.8692,STANDING
12983198,3.4836,-7.988,4.8711,STANDING
12983218,3.4777,-7.9926,4.8639,STANDING
12983238,3.4812,-7.9934,4.8582,STANDING
12983258,3.4877,-8.0028,4.8471,STANDING
12983278,3.4885,-8.0008,4.8399,STANDING
12983298,3.4907,-8.0039,4.8417,STANDING
12983318,3.4908,-8.0128,4.8403,STANDING
12983338,3.4889,-8.0174,4.8373,STANDING
12983358,3.4817,-8.0346,4.7949,STANDING
12983378,3.4867,-8.0571,4.8526,STANDING
12983398,3.4946,-8.066,4.8267,STANDING
12983418,3.4751,-8.0664,4.8252,STANDING
12983438,3.4488,-8.0627,4.7979,STANDING
12983458,3.4474,-8.0572,4.7704,STANDING
12983478,3.464,-8.0412,4.7476,STANDING
12983498,3.4653,-8.032,4.7305,STANDING
12983518,3.4721,-8.0292,4.728,STANDING
12983538,3.4739,-8.0323,4.7361,STANDING
12983558,3.4686,-8.0284,4.7437,STANDING
12983578,3.4609,-8.0337,4.7461,STANDING
12983598,3.4675,-8.0427,4.7544,STANDING
12983618,3.4737,-8.0357,4.7614,STANDING
12983638,3.4731,-8.0275,4.765,STANDING
12983658,3.4689,-8.0197,4.7642,STANDING
12983678,3.4583,-8.0184,4.7655,STANDING
12983698,3.4504,-8.0174,4.7589,STANDING
12983718,3.4405,-8.0314,4.7565,STANDING
12983738,3.4392,-8.0418,4.7424,STANDING
12983758,3.4475,-8.0538,4.7319,STANDING
12983778,3.4559,-8.0672,4.7349,STANDING
12983798,3.4635,-8.0725,4.734,STANDING
12983818,3.4611,-8.0824,4.7196,STANDING
12983838,3.4566,-8.0952,4.7164,STANDING
12983858,3.4713,-8.0985,4.6787,STANDING
12983878,3.4909,-8.1096,4.6986,STANDING
12983898,3.4926,-8.1248,4.6874,STANDING
12983918,3.4858,-8.1342,4.6515,STANDING
12983938,3.475,-8.1372,4.6382,STANDING
12983958,3.4902,-8.1119,4.5841,STANDING
12983978,3.4983,-8.1105,4.5526,STANDING
12983998,3.5082,-8.1377,4.5431,STANDING
12984018,3.5283,-8.165,4.5334,STANDING
12984038,3.5453,-8.1853,4.5328,STANDING
12984058,3.5612,-8.1894,4.5146,STANDING
12984078,3.5796,-8.1942,4.4999,STANDING
12984098,3.5945,-8.208,4.4788,STANDING
12984118,3.5847,-8.2201,4.4748,STANDING
12984138,3.5587,-8.2171,4.481,STANDING
12984158,3.5283,-8.2202,4.499,STANDING
12984178,3.5398,-8.2291,4.5123,STANDING
12984198,3.5792,-8.2129,4.5043,STANDING
12984218,3.6024,-8.181,4.4946,STANDING
12984238,3.6222,-8.1574,4.4827,STANDING
12984258,3.6325,-8.1587,4.4753,STANDING
12984278,3.644,-8.1458,4.4747,STANDING
12984298,3.655,-8.1297,4.4674,STANDING
12984318,3.6638,-8.0983,4.4725,STANDING
12984338,3.6673,-8.095,4.4544,STANDING
12984358,3.63,-8.0959,4.4488,STANDING
12984378,3.621,-8.109,4.4556,STANDING
12984398,3.6425,-8.101,4.4414,STANDING
12984418,3.659,-8.0802,4.405,STANDING
12984438,3.6672,-8.073,4.4236,STANDING
12984458,3.6739,-8.0809,4.4182,STANDING
12984478,3.6753,-8.0855,4.4357,STANDING
12984498,3.6749,-8.0959,4.4488,STANDING
12984518,3.6877,-8.108,4.4535,STANDING
12984538,3.692,-8.1101,4.4712,STANDING
12984558,3.6761,-8.1128,4.489,STANDING
12984578,3.6529,-8.1002,4.5054,STANDING
12984598,3.6326,-8.0938,4.528,STANDING
12984618,3.6311,-8.1025,4.5423,STANDING
12984638,3.6392,-8.1124,4.5402,STANDING
12984658,3.6646,-8.1117,4.5429,STANDING
12984678,3.6884,-8.1021,4.5405,STANDING
12984698,3.7116,-8.0998,4.5274,STANDING
12984718,3.7295,-8.1066,4.5141,STANDING
12984738,3.7484,-8.1148,4.4986,STANDING
12984758,3.7629,-8.1222,4.4833,STANDING
12984778,3.7663,-8.1357,4.4841,STANDING
12984798,3.7583,-8.1449,4.478,STANDING
12984818,3.7521,-8.1449,4.4853,STANDING
12984838,3.7567,-8.1661,4.4613,STANDING
12984858,3.7829,-8.1831,4.4281,STANDING
12984878,3.8318,-8.1602,4.404,STANDING
12984898,3.8409,-8.1477,4.3711,STANDING
12984918,3.8414,-8.1176,4.3553,STANDING
12984938,3.8295,-8.1145,4.3618,STANDING
12984958,3.8137,-8.1167,4.3837,STANDING
12984978,3.7906,-8.1145,4.4078,STANDING
12984998,3.7683,-8.1145,4.4115,STANDING
12985018,3.753,-8.1242,4.4233,STANDING
12985038,3.7424,-8.1261,4.4439,STANDING
12985058,3.7273,-8.1278,4.4595,STANDING
12985078,3.7216,-8.1281,4.4703,STANDING
12985098,3.7113,-8.121,4.4761,STANDING
12985118,3.7106,-8.1142,4.4855,STANDING
12985138,3.7145,-8.1081,4.4867,STANDING
12985158,3.7084,-8.1094,4.4998,STANDING
12985178,3.7074,-8.1087,4.5055,STANDING
12985198,3.711,-8.1118,4.5095,STANDING
12985218,3.7186,-8.1181,4.5106,STANDING
12985238,3.7172,-8.1174,4.5033,STANDING
12985258,3.7115,-8.1218,4.5001,STANDING
12985278,3.6737,-8.1269,4.4701,STANDING
12985298,3.6012,-8.1303,4.4452,STANDING
12985318,3.6256,-8.1449,4.4107,STANDING
12985338,3.659,-8.1623,4.4411,STANDING
12985358,3.6689,-8.1598,4.3974,STANDING
12985378,3.6836,-8.1494,4.3545,STANDING
12985398,3.6844,-8.1448,4.3648,STANDING
12985418,3.6776,-8.1448,4.365,STANDING
12985438,3.6794,-8.1456,4.3808,STANDING
12985458,3.678,-8.1435,4.399,STANDING
12985478,3.6705,-8.1362,4.4167,STANDING
12985498,3.6615,-8.1407,4.4261,STANDING
12985518,3.6544,-8.1454,4.4281,STANDING
12985538,3.6494,-8.1527,4.4328,STANDING
12985558,3.6445,-8.1577,4.443,STANDING
12985578,3.6473,-8.1607,4.4447,STANDING
12985598,3.6453,-8.167,4.4461,STANDING
12985618,3.6487,-8.1671,4.4499,STANDING
12985638,3.6524,-8.1675,4.453,STANDING
12985658,3.6524,-8.1651,4.4436,STANDING
12985678,3.6533,-8.1752,4.4377,STANDING
12985698,3.6486,-8.1908,4.433,STANDING
12985718,3.6403,-8.2046,4.4291,STANDING
12985738,3.6464,-8.2209,4.4216,STANDING
12985758,3.6512,-8.2205,4.408,STANDING
12985778,3.6646,-8.2145,4.3962,STANDING
12985798,3.6866,-8.2065,4.4095,STANDING
12985818,3.6635,-8.1594,4.3975,STANDING
12985838,3.6508,-8.1431,4.4068,STANDING
12985858,3.6575,-8.1737,4.3863,STANDING
12985878,3.6579,-8.2029,4.3904,STANDING
12985898,3.6494,-8.2,4.393,STANDING
12985918,3.6342,-8.2161,4.3967,STANDING
12985938,3.6287,-8.2182,4.4043,STANDING
12985958,3.6332,-8.2164,4.406,SIT_DOWN
12985978,3.6408,-8.2148,4.3933,SIT_DOWN
12985998,3.6498,-8.2124,4.3802,SIT_DOWN
12986018,3.6502,-8.2154,4.3761,SIT_DOWN
12986038,3.6452,-8.2187,4.3758,SIT_DOWN
12986058,3.6337,-8.2157,4.3753,SIT_DOWN
12986078,3.6339,-8.2107,4.3722,SIT_DOWN
12986098,3.6337,-8.213,4.3717,SIT_DOWN
12986118,3.6355,-8.2178,4.3684,SIT_DOWN
12986138,3.6416,-8.2197,4.3618,SIT_DOWN
12986158,3.6474,-8.2231,4.3577,SIT_DOWN
