timestamp_ms,acc_x,acc_y,acc_z,activity_label
2274158,-0.5393,9.4615,1.6058,STANDING
2274178,-0.5658,9.4671,1.6378,STANDING
2274198,-0.5847,9.4673,1.6302,STANDING
2274218,-0.5939,9.4758,1.5815,STANDING
2274238,-0.6057,9.4728,1.5606,STANDING
2274258,-0.6042,9.4683,1.5499,STANDING
2274278,-0.5947,9.4739,1.5322,STANDING
2274298,-0.587,9.4899,1.5176,STANDING
2274318,-0.5745,9.5006,1.5021,STANDING
2274338,-0.5782,9.5083,1.4992,STANDING
2274358,-0.5831,9.5101,1.4974,STANDING
2274378,-0.5792,9.502,1.4922,STANDING
2274398,-0.5705,9.5059,1.4827,STANDING
2274418,-0.5533,9.5052,1.4796,STANDING
2274438,-0.5319,9.5049,1.4684,STANDING
2274458,-0.5042,9.512,1.4554,STANDING
2274478,-0.4766,9.5291,1.4303,STANDING
2274498,-0.4682,9.5394,1.4194,STANDING
2274518,-0.4573,9.538,1.4058,STANDING
2274538,-0.439,9.5322,1.3887,STANDING
2274558,-0.3959,9.5256,1.3993,STANDING
2274578,-0.3589,9.5392,1.4462,STANDING
2274598,-0.3209,9.523,1.4586,STANDING
2274618,-0.305,9.5163,1.4482,STANDING
2274638,-0.2863,9.5277,1.5125,STANDING
2274658,-0.3304,9.537,1.5064,STANDING
2274678,-0.3612,9.5397,1.5011,STANDING
2274698,-0.3815,9.5494,1.5051,STANDING
2274718,-0.4003,9.554,1.5013,STANDING
2274738,-0.4068,9.5443,1.4975,STANDING
2274758,-0.3851,9.5402,1.5076,STANDING
2274778,-0.3547,9.5376,1.5164,STANDING
2274798,-0.3227,9.5224,1.5226,STANDING
2274818,-0.2919,9.5094,1.5248,STANDING
2274838,-0.2339,9.5194,1.5354,STANDING
2274858,-0.1606,9.4905,1.5298,STANDING
2274878,-0.1108,9.4909,1.5409,STANDING
2274898,-0.076,9.499,1.5197,STANDING
2274918,-0.061,9.482,1.4889,STANDING
2274938,-0.0759,9.4768,1.4708,STANDING
2274958,-0.1046,9.4997,1.4672,STANDING
2274978,-0.1558,9.5253,1.4603,STANDING
2274998,-0.2279,9.5442,1.4436,STANDING
2275018,-0.3184,9.5481,1.4487,STANDING
2275038,-0.405,9.5339,1.4586,STANDING
2275058,-0.4985,9.5013,1.4772,STANDING
2275078,-0.6041,9.4906,1.4531,STANDING
2275098,-0.6843,9.4634,1.4602,STANDING
2275118,-0.6906,9.4523,1.4615,STANDING
2275138,-0.6609,9.494,1.4398,STANDING
2275158,-0.6088,9.497,1.4348,STANDING
2275178,-0.5311,9.5136,1.4213,STANDING
2275198,-0.4364,9.5481,1.4017,STANDING
2275218,-0.3614,9.5737,1.3853,STANDING
2275238,-0.3227,9.5836,1.3785,STANDING
2275258,-0.2927,9.5829,1.3631,STANDING
2275278,-0.2775,9.5746,1.3596,STANDING
2275298,-0.2799,9.5794,1.3687,STANDING
2275318,-0.2966,9.5721,1.3777,STANDING
2275338,-0.3017,9.5663,1.3833,STANDING
2275358,-0.3086,9.5634,1.3936,STANDING
2275378,-0.3142,9.5517,1.4073,STANDING
2275398,-0.3404,9.55,1.4147,STANDING
2275418,-0.3735,9.554,1.4171,STANDING
2275438,-0.3852,9.5497,1.4191,STANDING
2275458,-0.3743,9.5342,1.4233,STANDING
2275478,-0.3713,9.5301,1.4202,STANDING
2275498,-0.3822,9.5284,1.4158,STANDING
2275518,-0.3867,9.5226,1.4286,STANDING
2275538,-0.3861,9.514,1.4338,STANDING
2275558,-0.3791,9.5052,1.4347,STANDING
2275578,-0.2947,9.501,1.4311,STANDING
2275598,-0.2816,9.5328,1.4294,STANDING
2275618,-0.2619,9.5346,1.4714,STANDING
2275638,-0.2604,9.5454,1.4931,STANDING
2275658,-0.2585,9.5544,1.4878,STANDING
2275678,-0.257,9.5613,1.4761,STANDING
2275698,-0.2632,9.5632,1.461,STANDING
2275718,-0.2861,9.5628,1.4501,STANDING
2275738,-0.3146,9.5636,1.4464,STANDING
2275758,-0.3274,9.5623,1.4438,STANDING
2275778,-0.3263,9.561,1.433,STANDING
2275798,-0.3202,9.5526,1.4255,STANDING
2275818,-0.3219,9.5468,1.4266,STANDING
2275838,-0.3269,9.5432,1.4135,STANDING
2275858,-0.328,9.544,1.4125,STANDING
2275878,-0.3374,9.5558,1.4078,STANDING
2275898,-0.341,9.5577,1.4094,STANDING
2275918,-0.3301,9.5548,1.4129,STANDING
2275938,-0.3168,9.5541,1.4109,STANDING
2275958,-0.3114,9.5499,1.4102,STANDING
2275978,-0.3006,9.54,1.4171,STANDING
2275998,-0.2854,9.5302,1.4124,STANDING
2276018,-0.2846,9.5315,1.4303,STANDING
2276038,-0.28,9.5468,1.4116,STANDING
2276058,-0.2808,9.5355,1.4088,STANDING
2276078,-0.2357,9.541,1.4042,STANDING
2276098,-0.2,9.5257,1.412,STANDING
2276118,-0.2075,9.5277,1.4222,STANDING
2276138,-0.2122,9.5314,1.4014,STANDING
2276158,-0.2306,9.5314,1.406,STANDING
2276178,-0.25,9.5352,1.4041,STANDING
2276198,-0.262,9.5298,1.4083,STANDING
2276218,-0.2653,9.5285,1.412,STANDING
2276238,-0.2622,9.5395,1.4204,STANDING
2276258,-0.2534,9.5509,1.4194,STANDING
2276278,-0.2416,9.5613,1.4086,STANDING
2276298,-0.231,9.5662,1.3971,STANDING
2276318,-0.2196,9.5767,1.3915,STANDING
2276338,-0.2136,9.5926,1.3879,STANDING
2276358,-0.2156,9.6061,1.3821,STANDING
2276378,-0.2195,9.5946,1.3797,STANDING
2276398,-0.23,9.5827,1.383,STANDING
2276418,-0.2383,9.5722,1.3841,STANDING
2276438,-0.2396,9.5685,1.398,STANDING
2276458,-0.2625,9.5691,1.3976,STANDING
2276478,-0.2908,9.5687,1.3967,STANDING
2276498,-0.2967,9.5673,1.3996,STANDING
2276518,-0.3043,9.5212,1.442,STANDING
2276538,-0.3078,9.4762,1.4913,STANDING
2276558,-0.3283,9.4719,1.4895,STANDING
2276578,-0.3358,9.4998,1.4437,STANDING
2276598,-0.3041,9.5193,1.4266,STANDING
2276618,-0.2666,9.5367,1.4137,STANDING
2276638,-0.2367,9.5364,1.4282,STANDING
2276658,-0.2321,9.5216,1.4511,STANDING
2276678,-0.2357,9.5124,1.4576,STANDING
2276698,-0.2356,9.5125,1.4611,STANDING
2276718,-0.2346,9.5199,1.4574,STANDING
2276738,-0.233,9.524,1.4552,STANDING
2276758,-0.2429,9.5264,1.4535,STANDING
2276778,-0.2526,9.5286,1.4596,STANDING
2276798,-0.2558,9.5311,1.4559,STANDING
2276818,-0.2452,9.534,1.4456,STANDING
2276838,-0.2283,9.5366,1.4386,STANDING
2276858,-0.2111,9.5422,1.442,STANDING
2276878,-0.2056,9.5413,1.4474,STANDING
2276898,-0.2208,9.5423,1.4528,STANDING
2276918,-0.2499,9.5385,1.4647,STANDING
2276938,-0.2694,9.538,1.4685,STANDING
2276958,-0.2599,9.5311,1.4701,STANDING
2276978,-0.2487,9.5211,1.4807,STANDING
2276998,-0.2359,9.5157,1.488,STANDING
2277018,-0.2119,9.5084,1.4849,STANDING
2277038,-0.1848,9.5296,1.4569,STANDING
2277058,-0.1615,9.5301,1.4264,STANDING
2277078,-0.1521,9.5181,1.3781,STANDING
2277098,-0.1528,9.5259,1.4109,STANDING
2277118,-0.168,9.5472,1.4096,STANDING
2277138,-0.2,9.5348,1.422,STANDING
2277158,-0.2094,9.5235,1.4304,STANDING
2277178,-0.2022,9.5249,1.4466,STANDING
2277198,-0.2058,9.5235,1.4746,STANDING
2277218,-0.2133,9.527,1.4954,STANDING
2277238,-0.2194,9.5225,1.5047,STANDING
2277258,-0.2235,9.519,1.5198,STANDING
2277278,-0.2229,9.5289,1.5328,STANDING
2277298,-0.218,9.5416,1.5387,STANDING
2277318,-0.228,9.5359,1.5471,STANDING
2277338,-0.2414,9.52,1.5477,STANDING
2277358,-0.2447,9.5095,1.5591,STANDING
2277378,-0.2346,9.5139,1.5584,STANDING
2277398,-0.2291,9.5212,1.5733,STANDING
2277418,-0.2201,9.5261,1.5781,STANDING
2277438,-0.2156,9.5178,1.5726,STANDING
2277458,-0.2163,9.5243,1.572,STANDING
2277478,-0.2228,9.5268,1.5635,STANDING
2277498,-0.2252,9.5304,1.5497,STANDING
2277518,-0.2308,9.5233,1.5584,STANDING
2277538,-0.2233,9.5247,1.549,STANDING
2277558,-0.211,9.5141,1.5483,STANDING
2277578,-0.185,9.5218,1.5586,STANDING
2277598,-0.1939,9.4966,1.5539,STANDING
2277618,-0.2242,9.4892,1.5636,STANDING
2277638,-0.2332,9.4777,1.5575,STANDING
2277658,-0.2414,9.4706,1.5477,STANDING
2277678,-0.2381,9.4729,1.5462,STANDING
2277698,-0.2263,9.4672,1.5535,STANDING
2277718,-0.2132,9.4553,1.5772,STANDING
2277738,-0.2072,9.459,1.5933,STANDING
2277758,-0.2032,9.4739,1.6042,STANDING
2277778,-0.2009,9.4794,1.606,STANDING
2277798,-0.2038,9.479,1.6113,STANDING
2277818,-0.208,9.4835,1.6228,STANDING
2277838,-0.215,9.4909,1.6259,STANDING
2277858,-0.2198,9.4924,1.6316,STANDING
2277878,-0.2238,9.5073,1.6233,STANDING
2277898,-0.224,9.5228,1.6102,STANDING
2277918,-0.2217,9.5199,1.612,STANDING
2277938,-0.2156,9.5168,1.6128,STANDING
2277958,-0.2129,9.5179,1.6102,STANDING
2277978,-0.205,9.5309,1.5995,STANDING
2277998,-0.2005,9.5405,1.5912,STANDING
2278018,-0.1834,9.5447,1.5848,STANDING
2278038,-0.1686,9.5507,1.5892,STANDING
2278058,-0.1557,9.5557,1.6108,STANDING
2278078,-0.135,9.5343,1.6023,STANDING
2278098,-0.1273,9.545,1.586,STANDING
2278118,-0.1513,9.5505,1.6014,STANDING
2278138,-0.1513,9.5222,1.6017,STANDING
2278158,-0.1544,9.5252,1.6066,STANDING
2278178,-0.1652,9.5396,1.6129,STANDING
2278198,-0.1596,9.5304,1.6298,STANDING
2278218,-0.1547,9.512,1.6557,STANDING
2278238,-0.1522,9.4971,1.6669,STANDING
2278258,-0.1551,9.4766,1.6829,STANDING
2278278,-0.1563,9.4678,1.6928,STANDING
2278298,-0.1537,9.4621,1.6954,STANDING
2278318,-0.1514,9.457,1.7003,STANDING
2278338,-0.1486,9.4601,1.6885,STANDING
2278358,-0.1531,9.4636,1.6829,STANDING
2278378,-0.1567,9.471,1.6895,STANDING
2278398,-0.1612,9.4752,1.6962,STANDING
2278418,-0.1545,9.4766,1.6972,STANDING
2278438,-0.1504,9.477,1.6998,STANDING
2278458,-0.1535,9.4848,1.7028,STANDING
2278478,-0.1656,9.4834,1.6847,STANDING
2278498,-0.1751,9.4722,1.6712,STANDING
2278518,-0.1934,9.4764,1.6685,STANDING
2278538,-0.181,9.5154,1.659,STANDING
2278558,-0.1574,9.5251,1.6294,STANDING
2278578,-0.1228,9.5194,1.6196,STANDING
2278598,-0.1812,9.5002,1.638,STANDING
2278618,-0.1126,9.494,1.6298,STANDING
2278638,-0.1063,9.4854,1.6438,STANDING
2278658,-0.115,9.4786,1.6605,STANDING
2278678,-0.1118,9.4776,1.6688,STANDING
2278698,-0.1036,9.4845,1.6574,STANDING
2278718,-0.1055,9.5066,1.6509,STANDING
2278738,-0.118,9.5158,1.6635,STANDING
2278758,-0.1168,9.5049,1.6807,STANDING
2278778,-0.1189,9.5085,1.6778,STANDING
2278798,-0.1251,9.5111,1.6703,STANDING
2278818,-0.137,9.5067,1.6735,STANDING
2278838,-0.136,9.5089,1.674,STANDING
2278858,-0.1307,9.5209,1.6624,STANDING
2278878,-0.1292,9.5322,1.648,STANDING
2278898,-0.1345,9.5311,1.6367,STANDING
2278918,-0.1302,9.5258,1.6334,STANDING
2278938,-0.1306,9.5195,1.6259,STANDING
2278958,-0.1264,9.523,1.6187,STANDING
2278978,-0.1152,9.5248,1.6306,STANDING
2278998,-0.1172,9.5449,1.6263,STANDING
2279018,-0.0839,9.5494,1.6383,STANDING
2279038,-0.0955,9.5267,1.6663,STANDING
2279058,-0.1353,9.5107,1.6495,STANDING
2279078,-0.1597,9.467,1.6415,STANDING
2279098,-0.121,9.4535,1.6319,STANDING
2279118,-0.0764,9.473,1.6232,STANDING
2279138,-0.0773,9.4907,1.6027,SIT_DOWN
2279158,-0.0943,9.5051,1.5786,SIT_DOWN
2279178,-0.1146,9.5092,1.5583,SIT_DOWN
2279198,-0.1253,9.5099,1.5531,SIT_DOWN
2279218,-0.1273,9.5159,1.5553,SIT_DOWN
2279238,-0.1226,9.5285,1.5469,SIT_DOWN
2279258,-0.1244,9.5401,1.5445,SIT_DOWN
2279278,-0.1326,9.5509,1.5408,SIT_DOWN
2279298,-0.1446,9.5424,1.5425,SIT_DOWN
2279318,-0.144,9.5294,1.5543,SIT_DOWN
2279338,-0.1532,9.5264,1.5512,SIT_DOWN
2279358,-0.1662,9.5264,1.5418,SIT_DOWN
2279378,-0.1811,9.5266,1.5411,SIT_DOWN
2279398,-0.1855,9.5201,1.5382,SIT_DOWN
2279418,-0.1677,9.5104,1.5487,SIT_DOWN
2279438,-0.1347,9.5126,1.5535,SIT_DOWN
2279458,-0.1071,9.5154,1.5623,SIT_DOWN
2279478,-0.0886,9.5263,1.578,SIT_DOWN
2279498,-0.0765,9.5314,1.5763,SIT_DOWN
2279518,-0.0901,9.5484,1.5614,SIT_DOWN
2279538,-0.0812,9.5592,1.4601,SIT_DOWN
2279558,-0.1093,9.5516,1.438,SIT_DOWN
2279578,-0.1095,9.5359,1.4374,SIT_DOWN
2279598,-0.1239,9.5529,1.4463,SIT_DOWN
2279618,-0.1321,9.5713,1.4444,SIT_DOWN
2279638,-0.1377,9.5741,1.4486,SIT_DOWN
2279658,-0.1508,9.5718,1.4547,SIT_DOWN
2279678,-0.1564,9.5697,1.4577,SIT_DOWN
2279698,-0.1518,9.5626,1.4647,SIT_DOWN
2279718,-0.1416,9.5632,1.4632,SIT_DOWN
2279738,-0.1287,9.5629,1.4593,SIT_DOWN
2279758,-0.1257,9.5654,1.4558,SIT_DOWN
2279778,-0.1184,9.5663,1.4445,SIT_DOWN
2279798,-0.1119,9.5588,1.4469,SIT_DOWN
2279818,-0.1271,9.5603,1.4515,SIT_DOWN
2279838,-0.1327,9.5614,1.459,SIT_DOWN
2279858,-0.125,9.5614,1.467,SIT_DOWN
2279878,-0.1218,9.5749,1.4601,SIT_DOWN
2279898,-0.1238,9.6089,1.4443,SIT_DOWN
2279918,-0.1236,9.6494,1.4289,SIT_DOWN
2279938,-0.1203,9.7161,1.3996,SIT_DOWN
2279958,-0.1127,9.8014,1.3513,SIT_DOWN
2279978,-0.1304,9.8671,1.3276,SIT_DOWN
2279998,-0.1604,9.7842,1.3166,SIT_DOWN
2280018,-0.1582,9.7881,1.2665,SIT_DOWN
2280038,-0.149,9.8178,1.2337,SIT_DOWN
2280058,-0.1697,9.8278,1.2825,SIT_DOWN
2280078,-0.1481,9.7835,1.2944,SIT_DOWN
2280098,-0.1549,9.7481,1.34,SIT_DOWN
2280118,-0.1723,9.688,1.4041,SIT_DOWN
2280138,-0.1832,9.6155,1.4608,SIT_DOWN
2280158,-0.1881,9.527,1.5386,SIT_DOWN
2280178,-0.1772,9.3902,1.6145,SIT_DOWN
2280198,-0.165,9.1913,1.7318,SIT_DOWN
2280218,-0.1493,8.9429,1.883,SIT_DOWN
2280238,-0.1463,8.6954,2.0287,SIT_DOWN
2280258,-0.1484,8.4335,2.2291,SIT_DOWN
2280278,-0.1266,8.189,2.5165,SIT_DOWN
2280298,-0.0553,7.941,2.8468,SIT_DOWN
2280318,-0.0132,7.6814,3.1585,SIT_DOWN
2280338,-0.0468,7.4432,3.4586,SIT_DOWN
2280358,-0.1391,7.2177,3.8077,SIT_DOWN
2280378,-0.2101,6.9825,4.1476,SIT_DOWN
2280398,-0.2265,6.7514,4.4682,SIT_DOWN
2280418,-0.2355,6.548,4.8409,SIT_DOWN
2280438,-0.2311,6.3707,5.1996,SIT_DOWN
2280458,-0.2655,6.2896,5.536,SIT_DOWN
2280478,-0.2934,6.2897,5.8103,SIT_DOWN
2280498,-0.27,6.2803,6.0505,SIT_DOWN
2280518,-0.2396,6.1991,6.3679,SIT_DOWN
2280538,-0.2474,6.1397,6.6526,SIT_DOWN
2280558,-0.2638,6.129,6.8018,SIT_DOWN
2280578,-0.2852,6.1232,6.9558,SIT_DOWN
2280598,-0.2891,6.2428,7.0585,SIT_DOWN
2280618,-0.2695,6.4138,7.0829,SIT_DOWN
2280638,-0.2613,6.4751,7.1339,SIT_DOWN
2280658,-0.2686,6.5168,7.219,SIT_DOWN
2280678,-0.2885,6.6466,7.2664,SIT_DOWN
2280698,-0.3877,6.8148,7.3692,SIT_DOWN
2280718,-0.4795,7.0013,7.3769,SIT_DOWN
2280738,-0.6077,7.1434,7.388,SIT_DOWN
2280758,-0.6886,7.2914,7.3543,SIT_DOWN
2280778,-0.708,7.4189,7.2855,SIT_DOWN
2280798,-0.6708,7.482,7.1952,SIT_DOWN
2280818,-0.6566,7.4904,7.0906,SIT_DOWN
2280838,-0.6944,7.5459,6.9225,SIT_DOWN
2280858,-0.7602,7.6277,6.8345,SIT_DOWN
2280878,-0.7828,7.7686,6.6553,SIT_DOWN
2280898,-0.7773,7.905,6.4654,SIT_DOWN
2280918,-0.7505,8.0328,6.2531,SIT_DOWN
2280938,-0.6929,8.1289,6.0757,SIT_DOWN
2280958,-0.6392,8.2719,5.8938,SIT_DOWN
2280978,-0.6273,8.3329,5.7731,SIT_DOWN
2280998,-0.6444,8.3739,5.5933,SIT_DOWN
2281018,-0.6789,8.4547,5.4205,SIT_DOWN
2281038,-0.7151,8.5497,5.3031,SIT_DOWN
2281058,-0.7094,8.6539,5.1873,SIT_DOWN
2281078,-0.6768,8.704,5.0525,SIT_DOWN
2281098,-0.6423,8.7424,4.9443,SIT_DOWN
2281118,-0.6076,8.8015,4.877,SIT_DOWN
2281138,-0.5722,8.8773,4.8296,SIT_DOWN
2281158,-0.5314,8.9592,4.7681,SIT_DOWN
2281178,-0.4939,9.0428,4.708,SIT_DOWN
2281198,-0.4739,9.1107,4.6525,SIT_DOWN
2281218,-0.4818,9.1616,4.6023,SIT_DOWN
2281238,-0.5099,9.2021,4.5463,SIT_DOWN
2281258,-0.5311,9.2226,4.4969,SIT_DOWN
